case,mode,iter_idx,wall_ms,cpu_ms,peak_mem_mb,rows_out,prov_events
case_1_filter_reviews_sql,baseline,0,7567.458250006894,226.65900000000062,1.399117,3,0
case_1_filter_reviews_sql,prov,0,7588.8704160024645,236.51200000000028,1.517198,3,1
case_1_filter_reviews_sql,prov,1,7791.519249993144,232.81099999999986,1.510897,3,1
case_1_filter_reviews_sql,baseline,1,8043.813708005473,232.62800000000004,1.511789,3,0
case_1_filter_reviews_sql,baseline,2,8058.3561249950435,238.52699999999948,1.399386,3,0
case_1_filter_reviews_sql,prov,2,8216.079249992617,242.2790000000017,1.401596,3,1
case_2_topk_reviews_sql,prov,0,10161.716792004881,344.97899999999856,1.463917,2,2
case_2_topk_reviews_sql,baseline,0,10927.838709001662,387.91800000000086,1.516852,2,0
case_2_topk_reviews_sql,baseline,1,10373.139917006483,350.617999999999,1.490774,2,0
case_2_topk_reviews_sql,prov,1,10455.775750000612,324.13700000000034,1.472299,2,2
case_2_topk_reviews_sql,prov,2,11665.186042009736,380.2310000000002,1.474304,2,2
case_2_topk_reviews_sql,baseline,2,12043.070791987702,387.2359999999997,1.57939,2,0
case_3_map_ticket_summary_sql,baseline,0,4161.80987500411,186.30800000000036,1.189011,4,0
case_3_map_ticket_summary_sql,prov,0,4299.776875006501,190.15100000000018,1.112985,4,1
case_3_map_ticket_summary_sql,baseline,1,4210.693667002488,199.40599999999975,1.111823,4,0
case_3_map_ticket_summary_sql,prov,1,4245.962208005949,196.54099999999985,1.112084,4,1
case_3_map_ticket_summary_sql,prov,2,4288.415624992922,189.81000000000137,1.164882,4,1
case_3_map_ticket_summary_sql,baseline,2,4124.331125000026,197.20200000000077,1.110819,4,0
case_4_join_products_categories_sql,prov,0,12908.619583002292,610.1449999999993,2.225086,6,1
case_4_join_products_categories_sql,baseline,0,12935.246833003475,601.1020000000009,2.285094,6,0
case_4_join_products_categories_sql,prov,1,13124.094458995387,605.9400000000004,2.230699,6,1
case_4_join_products_categories_sql,baseline,1,12982.147207992966,610.1689999999991,2.229758,6,0
case_4_join_products_categories_sql,baseline,2,12897.736458005966,603.2449999999976,2.278442,6,0
case_4_join_products_categories_sql,prov,2,13131.523250005557,614.2679999999991,2.226939,6,1
case_5_filter_in_memory_movies,baseline,0,3810.2952080080286,134.8280000000024,1.057676,2,0
case_5_filter_in_memory_movies,prov,0,3639.5829169923672,143.45100000000244,1.228929,2,1
case_5_filter_in_memory_movies,baseline,1,3854.719875002047,144.05800000000113,1.028319,2,0
case_5_filter_in_memory_movies,prov,1,3849.091459007468,136.50600000000068,1.065022,2,1
case_5_filter_in_memory_movies,prov,2,3782.3675830004504,143.16200000000023,1.230809,2,1
case_5_filter_in_memory_movies,baseline,2,3889.5401670015417,134.27899999999937,1.065041,2,0
case_6_map_in_memory_sentiment,baseline,0,1435.3865410084836,129.27799999999934,1.051636,3,0
case_6_map_in_memory_sentiment,prov,0,1435.9332079911837,135.75999999999766,1.061869,3,1
case_6_map_in_memory_sentiment,prov,1,1443.6938339931658,135.4360000000021,1.053127,3,1
case_6_map_in_memory_sentiment,baseline,1,1433.8993330020458,133.4830000000018,1.052312,3,0
case_6_map_in_memory_sentiment,prov,2,1443.8368749979418,135.70100000000096,1.061452,3,1
case_6_map_in_memory_sentiment,baseline,2,1289.4632090028608,131.12500000000082,1.045657,3,0
case_7_agg_in_memory_notes,prov,0,2994.742042006692,46.47500000000093,0.674977,1,1
case_7_agg_in_memory_notes,baseline,0,3121.4327499910723,54.53199999999825,0.798141,1,0
case_7_agg_in_memory_notes,prov,1,3015.5624999897555,45.5609999999993,0.672659,1,1
case_7_agg_in_memory_notes,baseline,1,3109.032541004126,52.402000000000726,0.686656,1,0
case_7_agg_in_memory_notes,baseline,2,3081.0782909975387,47.94899999999913,0.67283,1,0
case_7_agg_in_memory_notes,prov,2,3025.691207993077,47.876999999999725,0.74571,1,1
case_8_join_in_memory_courses_skills,baseline,0,17624.675875005778,444.36600000000226,2.073605,2,0
case_8_join_in_memory_courses_skills,prov,0,17248.074916991754,458.711000000001,1.805413,2,1
case_8_join_in_memory_courses_skills,baseline,1,17664.26820900233,451.5920000000016,1.855979,2,0
case_8_join_in_memory_courses_skills,prov,1,17683.632457992644,448.0390000000014,2.00965,2,1
case_8_join_in_memory_courses_skills,prov,2,17786.95587499533,450.39400000000285,2.065077,2,1
case_8_join_in_memory_courses_skills,baseline,2,17946.596792011405,454.48900000000236,1.90776,2,0
case_9_filter_then_map_pipeline,baseline,0,12544.27233399474,250.71299999999752,1.341237,2,0
case_9_filter_then_map_pipeline,prov,0,12147.348915998009,255.2190000000003,1.456907,2,2
case_9_filter_then_map_pipeline,prov,1,12110.197540998342,249.2340000000013,1.345817,2,2
case_9_filter_then_map_pipeline,baseline,1,12188.28591700003,254.0469999999999,1.415059,2,0
case_9_filter_then_map_pipeline,baseline,2,12684.146165993297,256.09999999999644,1.504061,2,0
case_9_filter_then_map_pipeline,prov,2,12507.042457989883,261.375000000001,1.401233,2,2
case_10_topk_in_memory_titles,baseline,0,2568.7884999933885,269.30600000000027,1.317284,3,0
case_10_topk_in_memory_titles,prov,0,2555.206167002325,268.91299999999774,1.354979,3,1
case_10_topk_in_memory_titles,baseline,1,2547.606709005777,280.45500000000345,1.310911,3,0
case_10_topk_in_memory_titles,prov,1,2648.74754101038,269.3130000000039,1.350643,3,1
case_10_topk_in_memory_titles,baseline,2,2645.767750000232,276.8820000000005,1.289859,3,0
case_10_topk_in_memory_titles,prov,2,2634.097916990868,275.578000000003,1.343758,3,1
